manufacturer,permit_number,vin_number,total_disengagements,total_miles,month,miles,month_id,year,disengagements,cumsum_mile,cumsum_disengagements
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,May 2022,0.0,2022-05-01,2022,0.0,2584.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,May 2022,59.0,2022-05-01,2022,0.0,2643.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,May 2022,0.0,2022-05-01,2022,0.0,2643.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,May 2022,2.5,2022-05-01,2022,0.0,2646.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,May 2022,0.0,2022-05-01,2022,0.0,2646.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,May 2022,0.0,2022-05-01,2022,0.0,2646.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,May 2022,76.7,2022-05-01,2022,0.0,2722.8,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Jun 2022,0.0,2022-06-01,2022,0.0,2722.8,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Jun 2022,108.5,2022-06-01,2022,0.0,2831.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Jun 2022,0.0,2022-06-01,2022,0.0,2831.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,Jun 2022,13.3,2022-06-01,2022,0.0,2844.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Jun 2022,0.0,2022-06-01,2022,0.0,2844.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Jun 2022,0.0,2022-06-01,2022,0.0,2844.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,Jun 2022,118.5,2022-06-01,2022,0.0,2963.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,July 2022,0.0,2022-07-01,2022,0.0,2963.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,July 2022,42.8,2022-07-01,2022,0.0,3005.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,July 2022,0.0,2022-07-01,2022,0.0,3005.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,July 2022,0.0,2022-07-01,2022,0.0,3005.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,July 2022,0.0,2022-07-01,2022,0.0,3005.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,July 2022,0.0,2022-07-01,2022,0.0,3005.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,July 2022,70.4,2022-07-01,2022,0.0,3076.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Aug 2022,0.0,2022-08-01,2022,0.0,3076.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Aug 2022,44.5,2022-08-01,2022,0.0,3120.8,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Aug 2022,0.0,2022-08-01,2022,0.0,3120.8,1.0
